sumber,judul,bidang,kategori
mau belajar apa,(2 Sessions) Belajar Cara Mengelola Project Secara Professional,management,business
mau belajar apa,(64 Sessions) (64 Days Class) Belajar Menjadi Seorang Profesional Muda Siap Kerja,management,business
mau belajar apa,(5 Sessions) Belajar Manajemen Dapur,management,business
mau belajar apa,Learn About Leadership 4.0,management,business
mau belajar apa,Belajar Membentuk Kualitas Pelayanan yang Prima,management,business
mau belajar apa,Belajar Membuat Pengaturan Kerja Tim yang Efektif,management,business
mau belajar apa,Learn About How Can Service Industry Survive? (Surviving Covid19),management,business
mau belajar apa,Belajar SEO Dasar Untuk Pemula,content-writing,business
mau belajar apa,(4 Sessions) Belajar Teknik Penulisan Iklan di Platform Digital,content-writing,business
mau belajar apa,Belajar Membuat Website Untuk Online Shopping (E-Commerce) menggunakan WordPress,content-writing,business
mau belajar apa,Belajar Keterampilan Menulis untuk Produk dan Iklan,content-writing,business
mau belajar apa,(3 Sessions) Belajar Membuat Storyboard Sketches,content-writing,business
mau belajar apa,Belajar Menulis untuk Pemula,content-writing,business
mau belajar apa,Belajar Penulisan Konten Kreatif dan Konten untuk Keperluan Bisnis,content-writing,business
mau belajar apa,Belajar Penulisan Komersil di Media Digital,content-writing,business
mau belajar apa,Learn How To Make Natural Soap,body-care-soap-lotion-shampoo,business
mau belajar apa,"Learn How To Make Body Scrub, Body Butter And Massage Oil",body-care-soap-lotion-shampoo,business
mau belajar apa,Learn How To Make Traditional and Modern Postpartum Products,body-care-soap-lotion-shampoo,business
mau belajar apa,Learn How To Make Coffee Body Scrub,body-care-soap-lotion-shampoo,business
mau belajar apa,Belajar Membuat Sabun Alami Dari Jus Segar,body-care-soap-lotion-shampoo,business
mau belajar apa,Learn The Basic of Cold Process Soap Making with Natural Ingredients,body-care-soap-lotion-shampoo,business
mau belajar apa,Learn How To Make Solid Perfume And Lotion Stick,body-care-soap-lotion-shampoo,business
mau belajar apa,Learn How to Make Proper Hand Sanitizer,body-care-soap-lotion-shampoo,business
mau belajar apa,Learn How To Make Natural Soap,beauty,fashion
mau belajar apa,"Learn How To Make Body Scrub, Body Butter And Massage Oil",beauty,fashion
mau belajar apa,Learn How To Make Traditional and Modern Postpartum Products,beauty,fashion
mau belajar apa,Learn How To Make Coffee Body Scrub,beauty,fashion
mau belajar apa,Belajar Membuat Sabun Alami Dari Jus Segar,beauty,fashion
mau belajar apa,Learn The Basic of Cold Process Soap Making with Natural Ingredients,beauty,fashion
mau belajar apa,Learn How To Make Solid Perfume And Lotion Stick,beauty,fashion
mau belajar apa,Learn How to Make Proper Hand Sanitizer,beauty,fashion
mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,sewing-menjahit,fashion
mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",sewing-menjahit,fashion
mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,sewing-menjahit,fashion
mau belajar apa,Learn How To Make Bow Tie Dress,sewing-menjahit,fashion
mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,sewing-menjahit,fashion
mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",sewing-menjahit,fashion
mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,sewing-menjahit,fashion
mau belajar apa,Learn How to Make Wrapped Dress,sewing-menjahit,fashion
mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashion,fashion
mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How To Make Abaya from Scratch,fashion,fashion
mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
mau belajar apa,Learn About Fashion Illustration,fashion,fashion
mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashion,fashion
mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
mau belajar apa,Learn How to Draw Fashion Illustration,fashion,fashion
mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashion,fashion
mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashion,fashion
mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
mau belajar apa,Learn How To Make Your Own Handmade Earing,fashion,fashion
mau belajar apa,Learn How To Sew Women Shirt,fashion,fashion
mau belajar apa,Belajar Membuat Payet Tabur,fashion,fashion
mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashion,fashion
mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashionpreneur,fashion
mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashionpreneur,fashion
mau belajar apa,Learn How To Make Abaya from Scratch,fashionpreneur,fashion
mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashionpreneur,fashion
mau belajar apa,Learn About Fashion Illustration,fashionpreneur,fashion
mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashionpreneur,fashion
mau belajar apa,Learn How To Make Bow Tie Dress,fashionpreneur,fashion
mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashionpreneur,fashion
mau belajar apa,Learn How to Draw Fashion Illustration,fashionpreneur,fashion
mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashionpreneur,fashion
mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashionpreneur,fashion
mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashionpreneur,fashion
mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashionpreneur,fashion
mau belajar apa,Learn How To Make Your Own Handmade Earing,fashionpreneur,fashion
mau belajar apa,Learn How To Sew Women Shirt,fashionpreneur,fashion
mau belajar apa,Belajar Membuat Payet Tabur,fashionpreneur,fashion
mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashionpreneur,fashion
mau belajar apa,Learn How to Make Your Own Culotte Pants,fashionpreneur,fashion
mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashionpreneur,fashion
mau belajar apa,Learn How to Make Wrapped Dress,fashionpreneur,fashion
mau belajar apa,Learn How to Make Crochet Coaster,crochet-knitting-weaving,fashion
mau belajar apa,(20 Sessions) Learn All About Fashion Design And Pattern Making,fashion,fashion
mau belajar apa,"(Afternoon Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How To Make Abaya from Scratch,fashion,fashion
mau belajar apa,Learn How to Make Your Own Futuristic Cropped Jacket,fashion,fashion
mau belajar apa,Learn About Fashion Illustration,fashion,fashion
mau belajar apa,Belajar Membuat Desain Busana (South Jakarta),fashion,fashion
mau belajar apa,Learn How To Make Bow Tie Dress,fashion,fashion
mau belajar apa,(Afternoon Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
mau belajar apa,Learn How to Draw Fashion Illustration,fashion,fashion
mau belajar apa,(Morning Session) Learn How To Make Your Own Custom Size Dress & Beading Technique,fashion,fashion
mau belajar apa,Learn How To Make Haute Couture Ateliers Bodice,fashion,fashion
mau belajar apa,Belajar Teknik Menjahit Payet Tabur,fashion,fashion
mau belajar apa,Learn How To Apply Shibori on T-Shirt,fashion,fashion
mau belajar apa,Learn How To Make Your Own Handmade Earing,fashion,fashion
mau belajar apa,Learn How To Sew Women Shirt,fashion,fashion
mau belajar apa,Belajar Membuat Payet Tabur,fashion,fashion
mau belajar apa,"(Morning Session) Learn About Haute Couture Pattern Making, Sewing & Draping",fashion,fashion
mau belajar apa,Learn How to Make Your Own Culotte Pants,fashion,fashion
mau belajar apa,Learn How To Apply Ecoprint On Tote Bag,fashion,fashion
mau belajar apa,Learn How to Make Wrapped Dress,fashion,fashion
mau belajar apa,(6 Sessions) (Online Class) Learn How To Make Wire Necklace (6 Days Session),jewelry-making,fashion
mau belajar apa,Learn How To Make Your Own Handmade Earing,jewelry-making,fashion
mau belajar apa,Learn How To Make Your Own Handmade Earing,fashion-accessories,fashion
mau belajar apa,Belajar Membuat Payet Tabur,fashion-accessories,fashion
pijarmahir,Belajar Mengenal dan Menggunakan Google Ads (Online),NAN,business
pijarmahir,(8 Sessions) Learn About Graphic Design (Advance),NAN,art
pijarmahir,(20 Sessions) Learn About Video Editing And Video Production (Package),NAN,art
pijarmahir,Learn How To Master HTML And CSS Only In 1 Day,NAN,teknologi
pijarmahir,(2 Sessions) (2 Days Webinar) Introduction To Digital Marketing with Jourdan Kamal,NAN,business
pijarmahir,(16 Sessions) Learn About Graphic Design From Basic To Advance (Package),NAN,art
pijarmahir,Pengetahuan Bahasa Indonesia,NAN,pengembangan-diri
pijarmahir,Pengetahuan Budaya dan Pariwisata,NAN,None
pijarmahir,Agile Dan Scrum,NAN,pengembangan-diri
pijarmahir,Introduction to Packet Tracer,NAN,teknologi
pijarmahir,Introduction to IoT,NAN,teknologi
pijarmahir,Introduction to Cybersecurity,NAN,teknologi
pijarmahir,Business Model Canvasing,NAN,business
pijarmahir,Anti Nganggur! Cara Melamar Kerja Tepat Sasaran,NAN,pengembangan-diri
pijarmahir,"Dari Rumah jadi Berkah, Bisnis Jajanan Rumahan",NAN,business
pijarmahir,Cara Jadi YouTuber untuk Pemula,NAN,business
pijarmahir,Membuat Logo Menggunakan Canva,NAN,business
pijarmahir,Membuat Brosur Digital Menggunakan Aplikasi Canva,NAN,business
pijarmahir,"Modal Camera sederhana, yuuk jadi Fotografer Pemula",NAN,pengembangan-diri
pijarmahir,Ilmu Wajib Sebelum Berinvestasi di Pasar Modal,NAN,business
pijarmahir,Keterampilan dalam Coaching,NAN,pengembangan-diri
pijarmahir,Keterampilan Menjual Dasar Luar Biasa,NAN,business
pijarmahir,Teknik Penutupan Penjualan yang Berhasil,NAN,business
pijarmahir,Cara Meningkatkan Penjualan Anda,NAN,business
pijarmahir,Jual dengan Jaringan Online dan Offline,NAN,business
pijarmahir,Rahasia Memengaruhi Penjualan,NAN,business
pijarmahir,Cara Membuat Diri Anda Dapat Dipromosikan,NAN,business
pijarmahir,Panduan Untuk Melakukan Panggilan Telepon Di Lingkungan Bisnis,NAN,business
pijarmahir,Cara Memberi Presentasi,NAN,pengembangan-diri
pijarmahir,Panduan untuk Menjadi Pemandu Tur bagi Turis bahasa Inggris,NAN,business
pijarmahir,Membuat Janji Pertemuan,NAN,business
pijarmahir,Cara Melakukan Pemesanan untuk Hotel,NAN,None
pijarmahir,Pengenalan Microsoft Excel 2016,NAN,pengembangan-diri
pijarmahir,Membuat dan Mengelola Workbook Microsoft Excel 2016,NAN,pengembangan-diri
pijarmahir,Cara Presentasi yang Baik,NAN,pengembangan-diri
pijarmahir,Penjualan B2B (Bisnis ke Bisnis),NAN,business
pijarmahir,Pelayanan Pelanggan Yang Unggul,NAN,business
pijarmahir,Keterampilan Negosiasi yang Efektif,NAN,business
pijarmahir,Are You Going To Meet Clients For The First time?,NAN,business
pijarmahir,Membuat Dokumen Perkantoran Menggunakan Microsoft Word,NAN,business
pijarmahir,Pengenalan Microsoft Word Tingkat Pemula,NAN,pengembangan-diri
pijarmahir,Membuat Laporan Keuangan Usaha Menggunakan Microsoft Excel,NAN,business
pijarmahir,Membuat Video Dengan Menggunakan Aplikasi Quik,NAN,pengembangan-diri
pijarmahir,Eksekusi Dalam Bisnis,NAN,business
pijarmahir,Keunggulan Layanan Pelanggan,NAN,business
pijarmahir,Cara Mudah dan Terbukti Berhasil dalam Menulis Copywriting,NAN,business
pijarmahir,Cara Jitu Menjadi Pengusaha Sukses,NAN,business
pijarmahir,Cara Menjual Produk atau Jasa Dari Facebook,NAN,business
pijarmahir,Cara Meraih Sukses Dengan Bahasa Inggris,NAN,business
pijarmahir,Cara Menjual Produk atau Jasa dari Instagram,NAN,business
pijarmahir,Meraup rupiah dengan facebook dan Instagram ads,NAN,business
pijarmahir,Tingkatkan penghasilan anda dengan Google ads sekarang,NAN,business
pijarmahir,Membangun website profesional dengan mudah,NAN,business
pijarmahir,Strategi menghasilkan rupiah dengan Youtube ads,NAN,business
pijarmahir,IT Support untuk Pemula: Dasar Troubleshooting,NAN,teknologi
pijarmahir,Windows Support untuk Pemula: Dasar Konfigurasi,NAN,teknologi
pijarmahir,IT Support untuk Pemula: Troubleshooting Microsoft office,NAN,teknologi
pijarmahir,Desktop Modern untuk Pemula: Instalasi Windows 10,NAN,teknologi
pijarmahir,IT Support untuk Pemula: Troubleshooting Windows,NAN,teknologi
pijarmahir,Teknologi Informasi untuk Pemula: Pemahaman Dasar,NAN,teknologi
pijarmahir,Belajar Penggunaan Microsoft Excel untuk Memaksimalkan Kerja UMKM,NAN,business
pijarmahir,Manajemen Desktop dan Perangkat Modern,NAN,teknologi
pijarmahir,Teknologi Informasi Untuk Pemula: Dokumentasi Dasar,NAN,teknologi
pijarmahir,Melindungi Desktop dan Perangkat Modern,NAN,teknologi
pijarmahir,Teknologi Informasi Untuk Pemula: Komunikasi Dasar,NAN,teknologi
pijarmahir,Desktop Modern untuk Pemula: Konfigurasi Windows 10,NAN,teknologi
pijarmahir,Desktop Modern untuk Pemula: Melindungi Windows 10,NAN,teknologi
pijarmahir,Desktop Modern untuk Pemula: Mengelola Windows 10,NAN,teknologi
pijarmahir,Windows Support untuk Pemula: Dasar Instalasi,NAN,teknologi
pijarmahir,Belajar CV dan Trik Interview Killer,NAN,pengembangan-diri
pijarmahir,Tingkatkan Penjualan dengan Instagram Marketing,NAN,business
pijarmahir,Tingkatkan Penjualan dengan Facebook Marketing,NAN,business
pijarmahir,Prinsip UX (User Experience),NAN,teknologi
pijarmahir,Strategi Praktis Menjadi Database Admin Handal,NAN,teknologi
pijarmahir,Teknik Membuat Artikel Cepat untuk Website,NAN,teknologi
pijarmahir,Fotografi Digital untuk Berjualan,NAN,business
pijarmahir,"Proses Penjualan dengan Tingkat Keberhasilan 99,99%",NAN,business
pijarmahir,Tips dan Trik Menguasai Presentasi untuk Pemula,NAN,pengembangan-diri
pijarmahir,Bahasa Inggris untuk Pencari Kerja,NAN,pengembangan-diri
pijarmahir,Penghasilan Tambahan dengan Menjadi Guru Online,NAN,business
pijarmahir,Bahasa Inggris untuk Presentasi,NAN,pengembangan-diri
pijarmahir,Bahasa Inggris untuk Pengemudi,NAN,pengembangan-diri
pijarmahir,Tips Jago MC Pemula,NAN,pengembangan-diri
pijarmahir,Bahasa Inggris untuk Petugas Pelayanan Pelanggan,NAN,business
pijarmahir,Tips dan Trik Menguasai Presentasi Untuk Pemula,NAN,pengembangan-diri
pijarmahir,Cara Komunikasi Profesional untuk Sukseskan Bisnismu,NAN,business
pijarmahir,Tips Jago MC Pemula,NAN,pengembangan-diri
pijarmahir,Penghasilan Tambahan dengan Menjadi Guru Online,NAN,business
pijarmahir,Sukses dengan Public Speaking,NAN,pengembangan-diri
pijarmahir,Membuat Sebuah Bisnis Sosial yang Efektif,NAN,business
pijarmahir,Editing Video (Power Director) untuk Jualan Online,NAN,business
pijarmahir,Digital Marketing: Menggunakan Channel dan Kampanye,NAN,business
pijarmahir,Berjualan dan Jadi Top Seller Tokopedia,NAN,business
pijarmahir,Eksis di Google dengan Google My Business,NAN,business
pijarmahir,Editing Foto (Snapseed) untuk Jualan Online,NAN,business
pijarmahir,Berjualan dan Jadi Top Seller Shopee,NAN,business
pijarmahir,Berjualan dan Jadi Top Seller Lazada,NAN,business
pijarmahir,Fundamental of Digital Marketing,NAN,business
pijarmahir,Bahasa Inggris untuk Ojek Online,NAN,business
pijarmahir,Penggunaan Microsoft Excel untuk Analisa,NAN,business
pijarmahir,Penggunaan Microsoft Excel untuk Keuangan,NAN,business
pijarmahir,Raih Penghasilan Puluhan Juta Rupiah Dari Instagram,NAN,business
pijarmahir,Raih Penghasilan Jutaan Hanya Modal Website,NAN,business
pijarmahir,Bahasa Inggris General,NAN,business
pijarmahir,Pengantar untuk Pelayanan Makanan (Food and Beverage),NAN,business
pijarmahir,Dasar-dasar House Keeping,NAN,business
pijarmahir,Dasar-dasar Front Office,NAN,business
pijarmahir,Bagaimana mengajar Bahasa Inggris secara Online,NAN,business
pijarmahir,CISCO NETWORK TRAINING,NAN,teknologi
pijarmahir,Telkom Prima Cipta Certifia,NAN,teknologi
pijarmahir,Pelatihan dan Sertifikasi CCNA 200-301,NAN,teknologi
pijarmahir,Telkom Prima Cipta Certifia,NAN,teknologi
sekolahmu,Sekolah Cikal - TK B - Bahasa Inggris,KELASMU,None
sekolahmu,Sekolah Cikal-Kelas 9-Pendidikan Agama Hindu,KELASMU,None
sekolahmu,Sekolah Cikal-Kelas 1-Pendidikan Agama Hindu,KELASMU,None
sekolahmu,Sekolah Cikal-TKA-Pendidikan Agama Hindu,KELASMU,None
sekolahmu,Agama Kristen Protestan Kelas IX SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Bahasa Indonesia Kelas X SMA - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Bahasa Indonesia  Kelas VIII SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Penjas-kelas 7-smpn125,KELASMU,None
sekolahmu,PJOK Kelas XI SMA-Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,IPA Kelas 7 SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Matematika Kelas XI SMK - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Biologi Kelas X - SMA Negeri 33 Jakarta,KELASMU,None
sekolahmu,Sekolah Cikal - TK B (Sample),KELASMU,None
sekolahmu,Sosiologi Kelas XI SMA-Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Pendidikan Agama Islam dan Budi Pekerti Kelas XI SMK - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,SMA Kelas 10 (Geografi) - Dinas Pendidikan DKI,KELASMU,None
sekolahmu,SMP Kelas 7 IPS - Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Bahasa Indonesia Kelas IX SMP - Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Pendidikan Agama Islam dan Budi Pekerti Kelas VIII SMP - DInas Pendidikan DKI,KELASMU,None
sekolahmu,Biologi XI SMA MIPA - Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Fisika Kelas X SMA - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Kelas PAUD TK A – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Seni Budaya Kelas VIII SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,IPA Kelas IX SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,PJOK Kelas X SMK - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Agama Kristen SMP Kelas VII - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Kelas 3 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Biologi Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Geografi Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Sosiologi Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Fisika Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kimia Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Matematika Peminatan IPA Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Matematika Peminatan IPS Kelas 12 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Biologi Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Ekonomi Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Geografi Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Sosiologi Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Fisika Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kimia Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Matematika Peminatan IPA Kelas 11 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Matematika Peminatan IPS Kelas 11 – SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Matematika Peminatan IPA Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kimia Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Sosiologi Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Geografi Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Ekonomi Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Biologi Kelas 10 SMA/K Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas PAUD TK B – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas PAUD 1-4 Tahun – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas PAUD 2 & 3 Tahun – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas PAUD 1 & 2 Tahun – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 9 SMP – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 9 SMP – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 8 SMP – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 7 SMP – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 6 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 5 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 4 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 2 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Kelas 1 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Fakta di Balik Virus Corona,KELASMU,None
sekolahmu,Virus Corona itu Apa sih?,KELASMU,None
sekolahmu,Belajar Virus Corona Bareng Anak,KELASMU,None
sekolahmu,Digital Parenting – Keluarga Kita,KELASMU,pengembangan-diri
sekolahmu,Nonton Bareng Guru Merdeka Belajar,KELASMU,None
sekolahmu,Merdeka Belajar dengan Teknologi Bersama Sekolahmu,KELASMU,None
sekolahmu,Berkenalan dengan Sekolahmu! (Murid),KELASMU,None
sekolahmu,Berkenalan dengan Sekolahmu! (Guru),KELASMU,None
sekolahmu,Berkenalan dengan Sekolahmu! (Orang Tua),KELASMU,None
sekolahmu,Mari Main!,KELASMU,None
sekolahmu,JAGO MATEMATIKA IPS 12,UJIANMU,None
sekolahmu,SIAP Ujian Nasional SMP,UJIANMU,None
sekolahmu,SIAP Ujian Nasional SMA: IPS #1,UJIANMU,None
sekolahmu,SIAP Ujian Nasional SMA : IPA #1,UJIANMU,None
sekolahmu,What in the World?,KELASMU,None
sekolahmu,Pemetaan SMB,KELASMU,None
sekolahmu,Prinsip CINTA – Keluarga Kita,KELASMU,None
sekolahmu,Menjadi Guru Merdeka Berkarya Bersama Sekolahmu,KELASMU,None
sekolahmu,Desain Pengajaran Abad ke-21 – Sekolahmu,KELASMU,None
sekolahmu,Kelas 2 SD – Dinas Pendidikan DKI,KELASMU,None
sekolahmu,Virus Corona itu Apa sih?,KELASMU,None
sekolahmu,Belajar Virus Corona Bareng Anak,KELASMU,None
sekolahmu,Prinsip CINTA – Keluarga Kita,KELASMU,None
sekolahmu,Kelas Merdeka Belajar – Kampus Guru Cikal,KELASMU,None
sekolahmu,IPS Kelas IX SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Bahasa Indonesia Kelas 7 SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Pend Agama Katolik dan Budi Pekerti Kelas VIII SMP - Dinas Pendidikan Jakarta,KELASMU,None
sekolahmu,Membacakan Cerita,KELASMU,None
sekolahmu,Menjadi Fasilitator Belajar Guru Sekolahmu,KELASMU,None
sekolahmu,JAGO SOSIOLOGI 12,UJIANMU,None
sekolahmu,JAGO SOSIOLOGI 11,UJIANMU,None
sekolahmu,Peran Guru dalam Pendidikan Abad ke-21,KELASMU,None
sekolahmu,Contoh Aktivitas Online di Sekolahmu,KELASMU,None
sekolahmu,Konsumsi Ramah Lingkungan – WWF,KELASMU,None
sekolahmu,JAGO EKONOMI 10,UJIANMU,None
sekolahmu,JAGO BIOLOGI 10,UJIANMU,None
sekolahmu,Ayo Berakhlak Mulia,KELASMU,None
sekolahmu,Merancang Program Belajar di Sekolahmu,KELASMU,None
sekolahmu,Voice of the Youth,KELASMU,None
sekolahmu,Transformasi Energi,KELASMU,None
sekolahmu,Serunya Belajar Karate,KELASMU,pengembangan-diri
sekolahmu,Ragam Hias pada Tekstil,KELASMU,None
sekolahmu,Pengelolaan Aset,KELASMU,None
sekolahmu,Peluang dan Statistika,KELASMU,None
sekolahmu,Membuat Konten Digital Pengajaran Abad ke-21,KELASMU,pengembangan-diri
sekolahmu,Kelas Merdeka Belajar – Kampus Guru Cikal,KELASMU,None
sekolahmu,JAGO SOSIOLOGI 10,UJIANMU,None
sekolahmu,JAGO MATEMATIKA IPS 10,UJIANMU,None
sekolahmu,JAGO MATEMATIKA IPA 12,UJIANMU,None
sekolahmu,JAGO MATEMATIKA IPA 11,UJIANMU,None
sekolahmu,JAGO MATEMATIKA IPA 10,UJIANMU,None
sekolahmu,JAGO KIMIA 12,UJIANMU,None
sekolahmu,JAGO KIMIA 11,UJIANMU,None
sekolahmu,JAGO KIMIA 10,UJIANMU,None
sekolahmu,JAGO GEOGRAFI 12,UJIANMU,None
sekolahmu,JAGO GEOGRAFI 11,UJIANMU,None
sekolahmu,JAGO GEOGRAFI 10,UJIANMU,None
sekolahmu,JAGO FISIKA 12,UJIANMU,None
sekolahmu,JAGO FISIKA 11,UJIANMU,None
sekolahmu,JAGO FISIKA 10,UJIANMU,None
sekolahmu,JAGO EKONOMI 11,UJIANMU,None
sekolahmu,JAGO BIOLOGI 12,UJIANMU,None
sekolahmu,JAGO BIOLOGI 11,UJIANMU,None
sekolahmu,Guru Merdeka Belajar – Kampus Guru Cikal,KELASMU,None
sekolahmu,Functional Fitness,KELASMU,None
sekolahmu,Fasilitator Pengajaran Abad ke-21 – Sekolahmu,KELASMU,None
sekolahmu,Desain Cita-cita,KELASMU,None
sekolahmu,Belajar Bermain Musik,KELASMU,pengembangan-diri
sekolahmu,Sekolah Cikal - TK B - Bahasa Inggris,KELASMU,None
sekolahmu,Sekolah Cikal-Kelas 9-Pendidikan Agama Hindu,KELASMU,None
sekolahmu,Sekolah Cikal-Kelas 1-Pendidikan Agama Hindu,KELASMU,None
